term,resource,domain,definition,data_type,format,required,terminology_binding,classification,ferpa,glba,source_file
application_source,AdmissionApplication,Enrollment & Registration,"Application platform (e.g., 'Common App', 'Coalition', 'institutional', 'SOPHAS', 'AMCAS')",string,,False,,confidential,True,False,core/resources/admission_application.json
high_school_gpa,AdmissionApplication,Enrollment & Registration,,number,,False,,confidential,True,False,core/resources/admission_application.json
transfer_gpa,AdmissionApplication,Enrollment & Registration,,number,,False,,confidential,True,False,core/resources/admission_application.json
test_scores,AdmissionApplication,Enrollment & Registration,,array,,False,,confidential,True,False,core/resources/admission_application.json
residency_at_application,AdmissionApplication,Enrollment & Registration,,string,,False,"enum: in_state, out_of_state, international, unknown",confidential,True,False,core/resources/admission_application.json
first_generation_flag,AdmissionApplication,Enrollment & Registration,,boolean,,False,,confidential,True,False,core/resources/admission_application.json
helix_id,Campaign,Advancement,,string,uuid,True,,internal,False,False,core/resources/campaign.json
institution_id,Campaign,Advancement,,string,,True,,internal,False,False,core/resources/campaign.json
name,Campaign,Advancement,"Campaign name (e.g., 'Forward Together: Campaign for State University')",string,,True,,internal,False,False,core/resources/campaign.json
campaign_type,Campaign,Advancement,,string,,True,"enum: comprehensive, capital, annual_fund, giving_day, crowdfunding...",internal,False,False,core/resources/campaign.json
goal_amount,Campaign,Advancement,,number,,True,,internal,False,False,core/resources/campaign.json
raised_amount,Campaign,Advancement,Total raised to date,number,,False,,internal,False,False,core/resources/campaign.json
donor_count,Campaign,Advancement,Unique donors to date,integer,,False,,internal,False,False,core/resources/campaign.json
gift_count,Campaign,Advancement,Total gifts/pledges to date,integer,,False,,internal,False,False,core/resources/campaign.json
start_date,Campaign,Advancement,,string,date,True,,internal,False,False,core/resources/campaign.json
end_date,Campaign,Advancement,,string,date,False,,internal,False,False,core/resources/campaign.json
status,Campaign,Advancement,,string,,False,"enum: planning, silent_phase, public_phase, completed, extended",internal,False,False,core/resources/campaign.json
priorities,Campaign,Advancement,,array,,False,,internal,False,False,core/resources/campaign.json
helix_id,Constituent,Advancement,,string,uuid,True,,confidential,True,False,core/resources/constituent.json
institution_id,Constituent,Advancement,,string,,True,,confidential,True,False,core/resources/constituent.json
person_ref,Constituent,Advancement,HELIX ID of the underlying Person resource (if individual),string,,False,,confidential,True,False,core/resources/constituent.json
student_ref,Constituent,Advancement,HELIX ID of the Student resource (if alumnus),string,,False,,confidential,True,False,core/resources/constituent.json
constituent_type,Constituent,Advancement,,string,,True,"enum: alumnus, donor, parent, friend, faculty_staff...",confidential,True,False,core/resources/constituent.json
status,Constituent,Advancement,,string,,True,"enum: active, inactive, deceased, lost, do_not_contact...",confidential,True,False,core/resources/constituent.json
class_year,Constituent,Advancement,"Graduation class year (e.g., '2015'). Primary affinity identifier for alumni.",string,,False,,confidential,True,False,core/resources/constituent.json
degrees,Constituent,Advancement,,array,,False,,confidential,True,False,core/resources/constituent.json
affinity_groups,Constituent,Advancement,"Affiliations: Greek org, athletics, college, department, student org, etc.",array,,False,,confidential,True,False,core/resources/constituent.json
giving_capacity,Constituent,Advancement,,object,,False,,confidential,True,False,core/resources/constituent.json
lifetime_giving,Constituent,Advancement,Total lifetime giving amount,number,,False,,confidential,True,False,core/resources/constituent.json
last_gift_date,Constituent,Advancement,,string,date,False,,confidential,True,False,core/resources/constituent.json
last_gift_amount,Constituent,Advancement,,number,,False,,confidential,True,False,core/resources/constituent.json
consecutive_giving_years,Constituent,Advancement,,integer,,False,,confidential,True,False,core/resources/constituent.json
largest_gift_amount,Constituent,Advancement,,number,,False,,confidential,True,False,core/resources/constituent.json
donor_segment,Constituent,Advancement,Current donor lifecycle segment for targeting,string,,False,"enum: lapsed, first_time, renewing, upgrading, downgrading...",confidential,True,False,core/resources/constituent.json
engagement_score,Constituent,Advancement,"Composite engagement score (events, emails, volunteering, social, etc.)",number,,False,,confidential,True,False,core/resources/constituent.json
solicitation_codes,Constituent,Advancement,Active solicitation restrictions or preferences,array,,False,,confidential,True,False,core/resources/constituent.json
assigned_officer,Constituent,Advancement,Development officer/gift officer managing this relationship,string,,False,,confidential,True,False,core/resources/constituent.json
prospect_stage,Constituent,Advancement,Moves management pipeline stage,string,,False,"enum: identification, qualification, cultivation, solicitation, stewardship...",confidential,True,False,core/resources/constituent.json
employer,Constituent,Advancement,,string,,False,,confidential,True,False,core/resources/constituent.json
job_title,Constituent,Advancement,,string,,False,,confidential,True,False,core/resources/constituent.json
industry,Constituent,Advancement,,string,,False,,confidential,True,False,core/resources/constituent.json
communication_preferences,Constituent,Advancement,,object,,False,,confidential,True,False,core/resources/constituent.json
helix_id,Course,Academic Structure,,string,uuid,True,,public,False,False,core/resources/course.json
institution_id,Course,Academic Structure,,string,,True,,public,False,False,core/resources/course.json
subject_code,Course,Academic Structure,"Department/subject prefix (e.g., 'CS', 'ECON', 'BIOL')",string,,True,,public,False,False,core/resources/course.json
course_number,Course,Academic Structure,"Catalog number (e.g., '101', '4500')",string,,True,,public,False,False,core/resources/course.json
title,Course,Academic Structure,Official course title,string,,True,,public,False,False,core/resources/course.json
description,Course,Academic Structure,,string,,False,,public,False,False,core/resources/course.json
credit_hours_min,Course,Academic Structure,Minimum credit hours (for variable-credit courses),number,,False,,public,False,False,core/resources/course.json
credit_hours_max,Course,Academic Structure,Maximum credit hours,number,,False,,public,False,False,core/resources/course.json
level,Course,Academic Structure,,string,,False,"enum: undergraduate_lower, undergraduate_upper, graduate, doctoral, professional...",public,False,False,core/resources/course.json
academic_org_ref,Course,Academic Structure,HELIX ID of the owning academic organization/department,string,,False,,public,False,False,core/resources/course.json
is_active,Course,Academic Structure,,boolean,,False,,public,False,False,core/resources/course.json
effective_date,Course,Academic Structure,,string,date,False,,public,False,False,core/resources/course.json
end_date,Course,Academic Structure,,string,date,False,,public,False,False,core/resources/course.json
helix_id,CourseSection,Academic Structure,,string,uuid,True,,internal,False,False,core/resources/course_section.json
institution_id,CourseSection,Academic Structure,,string,,True,,internal,False,False,core/resources/course_section.json
course_ref,CourseSection,Academic Structure,HELIX ID of the parent Course resource,string,,True,,internal,False,False,core/resources/course_section.json
academic_period_ref,CourseSection,Academic Structure,HELIX ID of the AcademicPeriod,string,,True,,internal,False,False,core/resources/course_section.json
section_number,CourseSection,Academic Structure,"Section identifier (e.g., '001', 'A')",string,,True,,internal,False,False,core/resources/course_section.json
crn,CourseSection,Academic Structure,Course Reference Number or equivalent registration code,string,,False,,internal,False,False,core/resources/course_section.json
title_override,CourseSection,Academic Structure,Section-specific title if different from catalog course,string,,False,,internal,False,False,core/resources/course_section.json
delivery_mode,CourseSection,Academic Structure,,string,,False,"enum: in_person, online_synchronous, online_asynchronous, hybrid, hyflex...",internal,False,False,core/resources/course_section.json
campus,CourseSection,Academic Structure,,string,,False,,internal,False,False,core/resources/course_section.json
building,CourseSection,Academic Structure,,string,,False,,internal,False,False,core/resources/course_section.json
room,CourseSection,Academic Structure,,string,,False,,internal,False,False,core/resources/course_section.json
instructors,CourseSection,Academic Structure,,array,,False,,internal,False,False,core/resources/course_section.json
max_enrollment,CourseSection,Academic Structure,,integer,,False,,internal,False,False,core/resources/course_section.json
actual_enrollment,CourseSection,Academic Structure,,integer,,False,,internal,False,False,core/resources/course_section.json
waitlist_capacity,CourseSection,Academic Structure,,integer,,False,,internal,False,False,core/resources/course_section.json
credit_hours,CourseSection,Academic Structure,,number,,False,,internal,False,False,core/resources/course_section.json
section_status,CourseSection,Academic Structure,,string,,False,"enum: active, cancelled, closed, pending",internal,False,False,core/resources/course_section.json
schedule,CourseSection,Academic Structure,Meeting pattern,object,,False,,internal,False,False,core/resources/course_section.json
fees,CourseSection,Academic Structure,,array,,False,,internal,False,False,core/resources/course_section.json
cross_listed_sections,CourseSection,Academic Structure,"HELIX IDs of cross-listed sections (same meeting, different subject/number)",array,,False,,internal,False,False,core/resources/course_section.json
final_exam_date,CourseSection,Academic Structure,,string,date-time,False,,internal,False,False,core/resources/course_section.json
syllabus_url,CourseSection,Academic Structure,,string,uri,False,,internal,False,False,core/resources/course_section.json
academic_org_ref,CourseSection,Academic Structure,HELIX ID of the owning department/AcademicOrg,string,,False,,internal,False,False,core/resources/course_section.json
helix_id,Degree,Outcomes,,string,uuid,True,,confidential,True,False,core/resources/degree.json
student_ref,Degree,Outcomes,HELIX ID of the Student,string,,True,,confidential,True,False,core/resources/degree.json
institution_id,Degree,Outcomes,,string,,True,,confidential,True,False,core/resources/degree.json
program_ref,Degree,Outcomes,HELIX ID of the Program,string,,True,,confidential,True,False,core/resources/degree.json
degree_type,Degree,Outcomes,"Degree designation (e.g., 'BS', 'MA', 'PhD')",string,,False,,confidential,True,False,core/resources/degree.json
degree_level,Degree,Outcomes,,string,,False,"enum: associate, bachelors, masters, doctoral, professional...",confidential,True,False,core/resources/degree.json
major,Degree,Outcomes,,string,,False,,confidential,True,False,core/resources/degree.json
minor,Degree,Outcomes,,string,,False,,confidential,True,False,core/resources/degree.json
concentration,Degree,Outcomes,,string,,False,,confidential,True,False,core/resources/degree.json
conferral_date,Degree,Outcomes,,string,date,True,,confidential,True,False,core/resources/degree.json
conferral_period_ref,Degree,Outcomes,HELIX ID of the AcademicPeriod of conferral,string,,False,,confidential,True,False,core/resources/degree.json
honors,Degree,Outcomes,,string,,False,"enum: summa_cum_laude, magna_cum_laude, cum_laude, with_distinction, with_honors...",confidential,True,False,core/resources/degree.json
cumulative_gpa,Degree,Outcomes,,number,,False,,confidential,True,False,core/resources/degree.json
total_credit_hours_earned,Degree,Outcomes,,number,,False,,confidential,True,False,core/resources/degree.json
thesis_title,Degree,Outcomes,,string,,False,,confidential,True,False,core/resources/degree.json
second_major,Degree,Outcomes,,string,,False,,confidential,True,False,core/resources/degree.json
additional_minors,Degree,Outcomes,,array,,False,,confidential,True,False,core/resources/degree.json
certifications,Degree,Outcomes,Embedded certifications earned alongside the degree,array,,False,,confidential,True,False,core/resources/degree.json
time_to_degree_terms,Degree,Outcomes,Number of terms from first enrollment to conferral,integer,,False,,confidential,True,False,core/resources/degree.json
total_transfer_credits_applied,Degree,Outcomes,,number,,False,,confidential,True,False,core/resources/degree.json
commencement_participation,Degree,Outcomes,,boolean,,False,,confidential,True,False,core/resources/degree.json
degree_status,Degree,Outcomes,Tracks degree from near-completion through official conferral,string,,False,"enum: pending_requirements, pending_conferral, conferred, revoked",confidential,True,False,core/resources/degree.json
helix_id,EngagementActivity,Advancement,,string,uuid,True,,internal,False,False,core/resources/engagement_activity.json
constituent_ref,EngagementActivity,Advancement,,string,,True,,internal,False,False,core/resources/engagement_activity.json
activity_type,EngagementActivity,Advancement,,string,,True,"enum: event_attendance, event_registration, email_open, email_click, email_reply...",internal,False,False,core/resources/engagement_activity.json
activity_date,EngagementActivity,Advancement,,string,date-time,True,,internal,False,False,core/resources/engagement_activity.json
event_name,EngagementActivity,Advancement,"Name of event, email campaign, or activity",string,,False,,internal,False,False,core/resources/engagement_activity.json
event_type,EngagementActivity,Advancement,,string,,False,"enum: homecoming, reunion, gala, donor_reception, groundbreaking...",internal,False,False,core/resources/engagement_activity.json
channel,EngagementActivity,Advancement,,string,,False,"enum: in_person, email, phone, social, web...",internal,False,False,core/resources/engagement_activity.json
location,EngagementActivity,Advancement,,string,,False,,internal,False,False,core/resources/engagement_activity.json
notes,EngagementActivity,Advancement,,string,,False,,internal,False,False,core/resources/engagement_activity.json
engagement_points,EngagementActivity,Advancement,Weighted points for engagement scoring model,integer,,False,,internal,False,False,core/resources/engagement_activity.json
linked_gift_ref,EngagementActivity,Advancement,"If this activity resulted in a gift, link to the Gift resource",string,,False,,internal,False,False,core/resources/engagement_activity.json
officer_ref,EngagementActivity,Advancement,Development officer who facilitated the interaction,string,,False,,internal,False,False,core/resources/engagement_activity.json
helix_id,Enrollment,Enrollment & Registration,,string,uuid,True,,confidential,True,False,core/resources/enrollment.json
student_ref,Enrollment,Enrollment & Registration,HELIX ID of the Student resource,string,,True,,confidential,True,False,core/resources/enrollment.json
course_section_ref,Enrollment,Enrollment & Registration,HELIX ID of the CourseSection resource,string,,True,,confidential,True,False,core/resources/enrollment.json
academic_period_ref,Enrollment,Enrollment & Registration,HELIX ID of the AcademicPeriod resource,string,,True,,confidential,True,False,core/resources/enrollment.json
enrollment_status,Enrollment,Enrollment & Registration,,string,,True,"enum: registered, waitlisted, enrolled, dropped, withdrawn...",confidential,True,False,core/resources/enrollment.json
enrollment_date,Enrollment,Enrollment & Registration,,string,date,False,,confidential,True,False,core/resources/enrollment.json
drop_date,Enrollment,Enrollment & Registration,,string,date,False,,confidential,True,False,core/resources/enrollment.json
credit_hours_attempted,Enrollment,Enrollment & Registration,,number,,False,,confidential,True,False,core/resources/enrollment.json
credit_hours_earned,Enrollment,Enrollment & Registration,,number,,False,,confidential,True,False,core/resources/enrollment.json
grade,Enrollment,Enrollment & Registration,Final grade. Bound to institution's HELIX grade terminology profile.,string,,False,,confidential,True,False,core/resources/enrollment.json
grade_points,Enrollment,Enrollment & Registration,,number,,False,,confidential,True,False,core/resources/enrollment.json
grade_mode,Enrollment,Enrollment & Registration,,string,,False,"enum: standard, pass_fail, audit, satisfactory_unsatisfactory, other",confidential,True,False,core/resources/enrollment.json
repeat_flag,Enrollment,Enrollment & Registration,,boolean,,False,,confidential,True,False,core/resources/enrollment.json
midterm_grade,Enrollment,Enrollment & Registration,Midterm/progress grade if institution uses early alert grading,string,,False,,confidential,True,False,core/resources/enrollment.json
last_attendance_date,Enrollment,Enrollment & Registration,Last date of academic activity. Required for federal financial aid return calculations.,string,date,False,,confidential,True,False,core/resources/enrollment.json
attendance_verified,Enrollment,Enrollment & Registration,Whether attendance/participation has been verified by instructor,boolean,,False,,confidential,True,False,core/resources/enrollment.json
final_exam_grade,Enrollment,Enrollment & Registration,,string,,False,,confidential,True,False,core/resources/enrollment.json
instructional_method,Enrollment,Enrollment & Registration,,string,,False,"enum: lecture, lab, seminar, independent_study, internship...",confidential,True,False,core/resources/enrollment.json
billing_hours,Enrollment,Enrollment & Registration,Credit hours used for billing purposes (may differ from academic credit hours),number,,False,,confidential,True,False,core/resources/enrollment.json
helix_id,FinAidAward,Financial Aid,,string,uuid,True,,restricted,True,True,core/resources/fin_aid_award.json
student_ref,FinAidAward,Financial Aid,HELIX ID of the Student resource,string,,True,,restricted,True,True,core/resources/fin_aid_award.json
academic_period_ref,FinAidAward,Financial Aid,HELIX ID of the AcademicPeriod,string,,True,,restricted,True,True,core/resources/fin_aid_award.json
award_type,FinAidAward,Financial Aid,,string,,True,"enum: grant, scholarship, loan_subsidized, loan_unsubsidized, loan_plus...",restricted,True,True,core/resources/fin_aid_award.json
fund_source,FinAidAward,Financial Aid,,string,,True,"enum: federal, state, institutional, private, employer...",restricted,True,True,core/resources/fin_aid_award.json
fund_name,FinAidAward,Financial Aid,"Specific fund or program name (e.g., 'Federal Pell Grant', 'Dean's Scholarship')",string,,False,,restricted,True,True,core/resources/fin_aid_award.json
fund_code,FinAidAward,Financial Aid,Institution's internal fund code,string,,False,,restricted,True,True,core/resources/fin_aid_award.json
award_status,FinAidAward,Financial Aid,,string,,True,"enum: offered, accepted, declined, cancelled, disbursed...",restricted,True,True,core/resources/fin_aid_award.json
amount_offered,FinAidAward,Financial Aid,Amount offered in local currency,number,,False,,restricted,True,True,core/resources/fin_aid_award.json
amount_accepted,FinAidAward,Financial Aid,,number,,False,,restricted,True,True,core/resources/fin_aid_award.json
amount_disbursed,FinAidAward,Financial Aid,,number,,False,,restricted,True,True,core/resources/fin_aid_award.json
currency,FinAidAward,Financial Aid,ISO 4217 currency code,string,,False,,restricted,True,True,core/resources/fin_aid_award.json
disbursement_date,FinAidAward,Financial Aid,,string,date,False,,restricted,True,True,core/resources/fin_aid_award.json
academic_year,FinAidAward,Financial Aid,Aid year in YYYY-YYYY format,string,,False,,restricted,True,True,core/resources/fin_aid_award.json
need_based_flag,FinAidAward,Financial Aid,,boolean,,False,,restricted,True,True,core/resources/fin_aid_award.json
merit_based_flag,FinAidAward,Financial Aid,,boolean,,False,,restricted,True,True,core/resources/fin_aid_award.json
efc,FinAidAward,Financial Aid,Expected Family Contribution / Student Aid Index at time of award,number,,False,,restricted,True,True,core/resources/fin_aid_award.json
program_ref,FinAidAward,Financial Aid,HELIX ID of the Program this award is associated with (if program-specific),string,,False,,restricted,True,True,core/resources/fin_aid_award.json
renewal_criteria,FinAidAward,Financial Aid,"Conditions for award renewal (e.g., 'Maintain 3.0 GPA')",string,,False,,restricted,True,True,core/resources/fin_aid_award.json
is_renewable,FinAidAward,Financial Aid,,boolean,,False,,restricted,True,True,core/resources/fin_aid_award.json
award_year_total,FinAidAward,Financial Aid,Total award amount across all terms in the academic year,number,,False,,restricted,True,True,core/resources/fin_aid_award.json
cost_of_attendance,FinAidAward,Financial Aid,Institutional COA budget used for this award calculation,number,,False,,restricted,True,True,core/resources/fin_aid_award.json
unmet_need,FinAidAward,Financial Aid,Remaining financial need after all awards,number,,False,,restricted,True,True,core/resources/fin_aid_award.json
satisfactory_academic_progress,FinAidAward,Financial Aid,SAP status at time of award. Federal aid requires SAP compliance.,string,,False,"enum: meeting, warning, probation, suspension, appeal_approved...",restricted,True,True,core/resources/fin_aid_award.json
helix_id,Gift,Advancement,,string,uuid,True,,confidential,True,False,core/resources/gift.json
institution_id,Gift,Advancement,,string,,True,,confidential,True,False,core/resources/gift.json
constituent_ref,Gift,Advancement,HELIX ID of the Constituent resource (donor),string,,True,,confidential,True,False,core/resources/gift.json
gift_number,Gift,Advancement,Institution-assigned gift/receipt number,string,,False,,confidential,True,False,core/resources/gift.json
gift_type,Gift,Advancement,Type of philanthropic transaction,string,,True,"enum: outright_gift, pledge, pledge_payment, matching_gift, planned_gift...",confidential,True,False,core/resources/gift.json
amount,Gift,Advancement,Gift amount (or fair market value for in-kind),number,,True,,confidential,True,False,core/resources/gift.json
currency,Gift,Advancement,,string,,False,,confidential,True,False,core/resources/gift.json
gift_date,Gift,Advancement,Date the gift was received or pledged,string,date,True,,confidential,True,False,core/resources/gift.json
receipt_date,Gift,Advancement,,string,date,False,,confidential,True,False,core/resources/gift.json
designation,Gift,Advancement,Where the gift is directed,object,,False,,confidential,True,False,core/resources/gift.json
campaign_ref,Gift,Advancement,HELIX ID of the Campaign resource (if gift is counted toward a campaign),string,,False,,confidential,True,False,core/resources/gift.json
appeal_code,Gift,Advancement,Solicitation/appeal that prompted the gift,string,,False,,confidential,True,False,core/resources/gift.json
gift_source,Gift,Advancement,,string,,False,"enum: online, mail, phone, event, in_person...",confidential,True,False,core/resources/gift.json
payment_method,Gift,Advancement,,string,,False,"enum: check, credit_card, ach, wire, stock...",confidential,True,False,core/resources/gift.json
pledge_ref,Gift,Advancement,"If this is a pledge payment, HELIX ID of the original pledge Gift",string,,False,,confidential,True,False,core/resources/gift.json
pledge_balance,Gift,Advancement,Remaining pledge balance (on pledge records),number,,False,,confidential,True,False,core/resources/gift.json
matching_company,Gift,Advancement,Employer name for corporate matching gifts,string,,False,,confidential,True,False,core/resources/gift.json
matching_ratio,Gift,Advancement,"Match ratio (e.g., '1:1', '2:1')",string,,False,,confidential,True,False,core/resources/gift.json
tax_deductible_amount,Gift,Advancement,,number,,False,,confidential,True,False,core/resources/gift.json
anonymous_flag,Gift,Advancement,Donor wishes to remain anonymous for public recognition,boolean,,False,,confidential,True,False,core/resources/gift.json
soft_credit_constituents,Gift,Advancement,"HELIX IDs of constituents who receive soft credit (spouse, advisor, etc.)",array,,False,,confidential,True,False,core/resources/gift.json
acknowledgment_status,Gift,Advancement,Thank-you/acknowledgment letter status,string,,False,"enum: pending, sent, not_required",confidential,True,False,core/resources/gift.json
acknowledgment_date,Gift,Advancement,,string,date,False,,confidential,True,False,core/resources/gift.json
stewardship_actions,Gift,Advancement,,array,,False,,confidential,True,False,core/resources/gift.json
helix_id,Hold,Student Services,,string,uuid,True,,confidential,True,False,core/resources/hold.json
student_ref,Hold,Student Services,,string,,True,,confidential,True,False,core/resources/hold.json
hold_type,Hold,Student Services,,string,,True,"enum: registration, financial, academic, disciplinary, transcript...",confidential,True,False,core/resources/hold.json
hold_status,Hold,Student Services,,string,,True,"enum: active, released, expired",confidential,True,False,core/resources/hold.json
reason,Hold,Student Services,"Human-readable reason for the hold (e.g., 'Unpaid balance', 'Missing immunization records')",string,,False,,confidential,True,False,core/resources/hold.json
hold_code,Hold,Student Services,Institution's internal hold code,string,,False,,confidential,True,False,core/resources/hold.json
placed_date,Hold,Student Services,,string,date,False,,confidential,True,False,core/resources/hold.json
released_date,Hold,Student Services,,string,date,False,,confidential,True,False,core/resources/hold.json
expiration_date,Hold,Student Services,Date the hold auto-expires if not released,string,date,False,,confidential,True,False,core/resources/hold.json
placed_by_office,Hold,Student Services,Office or department that placed the hold,string,,False,,confidential,True,False,core/resources/hold.json
prevents,Hold,Student Services,What actions this hold prevents,array,,False,,confidential,True,False,core/resources/hold.json
amount_owed,Hold,Student Services,"For financial holds, the outstanding balance",number,,False,,confidential,True,True,core/resources/hold.json
currency,Hold,Student Services,,string,,False,,confidential,True,False,core/resources/hold.json
helix_id,Institution,Identity,Globally unique HELIX identifier,string,uuid,True,,public,False,False,core/resources/institution.json
name,Institution,Identity,Official institution name,string,,True,,public,False,False,core/resources/institution.json
short_name,Institution,Identity,"Common abbreviation (e.g., 'OSU', 'MIT')",string,,False,,public,False,False,core/resources/institution.json
identifiers,Institution,Identity,"External identifiers (IPEDS UnitID, OPEID, HESA UKPRN, etc.)",array,,False,,public,False,False,core/resources/institution.json
institution_type,Institution,Identity,,string,,True,"enum: university, college, community_college, technical_college, system_office...",public,False,False,core/resources/institution.json
carnegie_classification,Institution,Identity,Carnegie Classification code (US institutions),string,,False,,public,False,False,core/resources/institution.json
country,Institution,Identity,,string,iso-3166-1-alpha-2,True,,public,False,False,core/resources/institution.json
state_province,Institution,Identity,"State, province, or region",string,,False,,public,False,False,core/resources/institution.json
timezone,Institution,Identity,"IANA timezone (e.g., 'America/New_York')",string,,False,,public,False,False,core/resources/institution.json
erp_system,Institution,Identity,Primary SIS/ERP platform,string,,False,"enum: banner, peoplesoft, workday, colleague, jenzabar...",public,False,False,core/resources/institution.json
website,Institution,Identity,,string,uri,False,,public,False,False,core/resources/institution.json
helix_id,Person,Identity,,string,uuid,True,,confidential,True,False,core/resources/person.json
institution_id,Person,Identity,,string,,True,,confidential,True,False,core/resources/person.json
identifiers,Person,Identity,All known identifiers across systems,array,,True,,confidential,True,False,core/resources/person.json
name,Person,Identity,,object,,True,,confidential,True,False,core/resources/person.json
birth_date,Person,Identity,,string,date,False,,confidential,True,False,core/resources/person.json
gender,Person,Identity,Bound to helix/gender terminology,string,,False,,confidential,True,False,core/resources/person.json
gender_identity,Person,Identity,Self-reported gender identity. Bound to helix/gender-identity terminology. Separate from legal gender for institutions that track both.,string,,False,,confidential,True,False,core/resources/person.json
pronouns,Person,Identity,"Preferred pronouns (e.g., 'he/him', 'she/her', 'they/them')",string,,False,,confidential,True,False,core/resources/person.json
ethnicity,Person,Identity,Self-reported ethnicity/race categories. Multi-select. Bound to helix/ethnicity terminology or country-specific profile.,array,,False,,confidential,True,False,core/resources/person.json
citizenship_countries,Person,Identity,Countries of citizenship (supports dual/multi citizenship),array,,False,,confidential,True,False,core/resources/person.json
primary_language,Person,Identity,ISO 639-1 language code,string,,False,,confidential,True,False,core/resources/person.json
is_deceased,Person,Identity,,boolean,,False,,confidential,True,False,core/resources/person.json
deceased_date,Person,Identity,,string,date,False,,confidential,True,False,core/resources/person.json
contact,Person,Identity,Contact information,object,,False,,confidential,True,False,core/resources/person.json
emergency_contacts,Person,Identity,,array,,False,,confidential,True,False,core/resources/person.json
helix_id,Program,Academic Structure,,string,uuid,True,,public,False,False,core/resources/program.json
